description
㈱日本取引所グループ常務執行役ＣＩＯ、㈱東京証券取引所取締役常務執行役員、㈱大阪取引所常務執行役員
株式会社第一勧業銀行入行
㈱タダノ社外取締役就任（現任）
㈱Medical CUBIC (現 ㈱プロトメディカルケア) 代表取締役
株式会社アドバンテスト経営企画・管理担当
ケイ・エス・エム株式会社代表取締役社長(現任)
株式会社アインホールディングス社外取締役(現任)
独立行政法人情報処理推進機構理事
ぷらっとホーム株式会社社外取締役(現任)
東武鉄道株式会社執行役員
同社原料第一部原料需給グループリーダー
株式会社ユーザベース社外監査役
佐鳥電機株式会社入社
株式会社福岡相互銀行（現株式会社西日本シティ銀行）入行
ＴＤＣソフト株式会社常勤監査役(現任)
株式会社アンビスホールディングス社外監査役(現任)
Sony EMCS(Malaysia)Sdn.Bhd. PG-TEC Deputy TEC President
株式会社トライアイズ総務部長
同社代表取締役社長
りそなビジネスサービス株式会社専務取締役
スミスバーニー証券東京支店営業本部長
明治学院大学大学院　客員教授就任(現任)
同所パートナー（現任）
株式会社ケアネット　取締役   医薬営業支援事業部長
最高経営責任者(現)
弁護士登録（東京弁護士会） さくら共同法律事務所 入所
宝印刷株式会社（現 株式会社TAKARA & COMPANY）入社
バルミューダ株式会社社外監査役（現任）
(現株式会社北洋銀行)入行
日本ＢＳ放送株式会社 常務取締役ソリューション営業局長 兼 営業局担当
極東石油工業合同会社入社
ターボリナックス株式会社 入社
ニホンフラッシュ株式会社取締役
同社執行役員マーケティング部長
専務取締役設計部長
株式会社久世 社外監査役（現任）
株式会社ローソン執行役員コミュニケーションステーションディレクター兼広報リーダー
山本安志法律事務所 所長(現任)
総務人事部担当部長しき島商事株式会社 代表取締役社長
株式会社Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ　入社
朝日生命保険相互会社取締役執行役員リスク管理統括部 コンプライアンス統括部担当
キョーリン製薬ホールディングス株式会社社外監査役(現任)
株式会社中村屋取締役兼専務執行役員生産部門担当
株式会社Quemix取締役（現任）
アシードホールディングス株式会社取締役（監査等委員）（現任）
株式会社アイキューブドシステムズ 取締役 就任（現任）
株式会社リアルウッドマーケティング取締役
Good Able Limited. 取締役
弁護士法人淀屋橋・山上合同入所
司法研修所入所
東京慈恵会医科大学　教授
大阪支店長
株式会社内田洋行取締役執行役員営業統括本部公共本部副本部長兼業務統括部長
丸一鋼管株式会社秘書室長就任
株式会社オリエントコーポレーション業務統括グループ担当（兼）業務統括グループ業務統括部長
太洋基礎工業株式会社専務取締役
スマートソーラー株式会社非常勤社外監査役就任（現任）
株式会社システム　ディ取締役
大阪支店長
札幌病院総務部長
株式会社デルソーレ執行役員経営戦略室長兼管理本部長補佐に就任
株式会社ＤＴＳパレット　代表取締役社長（現任）
税理士登録
エムスリー株式会社執行役員就任
ミヨシ油脂株式会社　執行役員　経営企画室長　兼物流業務室長　兼海外事業室長
鐘淵化学工業株式会社（現株式会社カネカ）入社
株式会社大運非常勤監査役就任
つばさ証券㈱   （現 三菱モルガンスタンレー証券㈱）執行役員
株式会社デジタルガレージ取締役 兼 常務執行役員 インキュベーションテクノロジー・セグメント管掌 兼 DG Lab管掌、戦略事業及び海外事業担当 兼 グループCEO本部共同部長 兼 デジタルヘルス事業部長(現任)
株式会社シーアールイー取締役執行役員（現任）
同社取締役管理本部本部長補佐
大和証券㈱　入社
八幡製鐵株式會社入社
同社中央研究所製剤研究部主任研究員、部長歴任
株式会社スリー・ディー・マトリックス監査役就任（現任）
日華化学株式会社入社
株式会社光陽社取締役営業本部長
公認会計士登録
監査役(現任)
株式会社　昭和システムエンジニアリング入社
同パートナー
amadana株式会社 取締役（現任）   株式会社アマダナ総合研究所 代表取締役   株式会社DLEキャピタル 代表取締役
業務統轄本部長兼新規事業企画室長
MC Research & Innovation Inc.(三菱化学米国法人) President
株式会社　フジ・コーポレーション監査役就任(現)
静岡県弁護士会弁護士登録
シスコシステムズ合同会社　専務執  行役員就任
佐鳥電機株式会社制御機器営業本部副本部長
テイ・エス　テック株式会社執行役員生産本部副本部長
ジャパンマリンユナイテッド㈱社外取締役
株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ取締役（監査等委員）就任（現任）
株式会社井筒屋入社
株式会社日本ケアサプライ　監査役（現任）
立教大学経済学部経営学科助教授
㈱サニーサイドアップ（現 ㈱サニーサイドアップグループ）社外取締役（監査等委員）（現任）
ハーバード大学経営大学院 　修士号取得
㈱ロコンド社外取締役(監査等委員)(現任)
浅間製作所分割準備株式会社（現：株式会社浅間製作所）代表取締役会長（現任）
東邦ホールディングス株式会社社外取締役就任（現任）
株式会社シグリード取締役 (監査等委員)就任
川口一幸法律事務所開所、所長 (現任)
Ecpark Pte.Ltd.代表取締役就任(現任)
日本電設工業㈱出向鉄道統括本部新幹線部技術指導部長
学習院大学法学部法学科特別客員教授
株式会社マキタ社外取締役（常勤監査等委員） (現）
(重要な兼職の状況)キューピー株式会社社外取締役ブラザー工業株式会社社外取締役
東邦レーヨン（現帝人（株））入社
自治医科大学医学部長
アヲハタ株式会社取締役営業本部長
株式会社イノベーションラボ入社　取締役就任
SRIインターナショナル日本支社代表
水戸証券株式会社リスク管理部、商品企画部、商品部、法人営業部、地域法人部管掌(現)
同常務取締役パッケージングプロダクトビジネスユニット管掌兼グローバルビジネスユニット管掌(現任)
九州電力株式会社 執行役員 鹿児島支店長
ウェルネット株式会社社外監査役
株式会社ミライト・ホールディングス取締役常務執行役員新ビジネス推進室長
愛知県総務部市町村課長
金城学院大学特命副学長
当　社　代表取締役社長
監査法人トーマツ　会長兼包括代表社員   退任、相談役代表社員就任
株式会社有沢製作所製造部統括補佐
日本アイビーエム・ソリューション・サービス株式会社出向　取締役事業推進担当
穴吹興産株式会社　人事部長（現任）
日本住宅株式会社入社
公益財団法人一橋大学講演会　監事(現任)
株式会社ユビテック　取締役副社長（現任）
㈱みずほ銀行より光ビジネスフォーム株式会社へ出向 執行役員総務部長
関西支社長
大森会計事務所入所
中村合同特許法律事務所パートナー(現任)
監査法人トーマツ(現有限責任監査法人トーマツ)グローバル・サービス・グループ　グループ長
エレコム株式会社 常務取締役
株式会社レザック顧問(現任)
染野公認会計士事務所開設（現任）
同社コーポレート経理部長兼フィナンシャル・リソーシズグループ長付兼住友商事フィナンシャルマネジメント㈱
同社取締役常務執行役員静岡工場長
株式会社キタムラピーシーデポ取締役
俺の㈱社外取締役
川崎地質株式会社執行役員西日本支社長
大蔵省（現財務省）入省
同行笠岡中央支店長
帝国繊維株式会社管理部門長兼官特需部門長
株式会社CDG社外監査役
大成建設株式会社監査役就任（現任）
〃　代表取締役会長（現在）
株式会社ストリーム   代表取締役副社長（現任）
取締役営業本部東日本エリア担当部長
同社取締役執行役員ＩＴビジネス事業本部長
株式会社みずほ証券リサーチ&コンサルティング（現 株式会社日本投資環境研究所)執行役員 コンプライアンスオフィサー 企画総務部担当
常務取締役 コンプライアンス部長
同社エリアマーケティング部部長
日本光電工業株式会社総務人事部長
図研エルミック株式会社　リブウェア開発部長
株式会社中央製作所総務部主幹
同社顧問
株式会社きもと取締役
取締役コーポレート部長
同社テキスタイル企画管理部長
執行役員
同社取締役店舗開発本部長
宮越ホールディングス株式会社代表取締役会長兼社長 (現)
取締役イノベーション本部長 （現任）
阪和熱水工業株式会社（現テス・エンジニアリング株式会社）　入社
アステリア株式会社設立　常務取締役
キヤノン電子株式会社LBP事業部副事業部長兼LBP管理部長
キリンホールディングス株式会社取締役常務執行役員(現任)キリン㈱常務執行役員キリンビジネスシステム㈱取締役(現任)
株式会社ＷＯＷＯＷ 経営企画部 専任部長
株式会社船場 取締役会長(現任)
ＳＥＣカーボン株式会社常務取締役統括
株式会社ヴィンクス代表取締役社長執行役員（現任）
JCU VIETNAM CORPORATION代表取締役(現任)
同行常務取締役インターナショナルバンキングユニット統括役員
㈱キノファーマ社外監査役（現任）
㈱博報堂入社
株式会社ベイエフエム取締役本社営業局長就任
センチュリー監査法人(現EY新日本有限責任監査法人)代表社員就任
弁護士登録
ｅＢＡＳＥ株式会社入社
株式会社クボタ社外取締役（現任）
同社 代表取締役社長就任
株式会社日本動物高度医療センター入社、循環器・呼吸器科、泌尿生殖器・消化器科、放射線・画像診断科各科長、大阪開設準備室長を歴任（現任）
株式会社創健社横浜支店長兼関東支店長
プライスウォーターハウスコンサルタント株式会社へ転籍
株式会社ダイドーリミテッド入社
有限会社渡辺エステート　取締役　就任(現任)
株式会社プロルート丸光取締役副社長（現任）
三洋リフォーム株式会社（現・サンヨーリフォーム株式会社）取締役
"理事　Asahi Group Holdings Southeast Asia Pte. Ltd., Director"
ニチエス株式会社 代表取締役　社長（現任）
㈱村上開明堂 社外取締役(現任)
東芝テック株式会社社外取締役（現任）
株式会社Interraps代表取締役社長就任
株式会社パイロットコーポレーション取締役 上席執行役員総務部長（現任）
マイクロバイオ㈱　監査役（現任）
株式会社安藤・間取締役副社長営業本部長
専務取締役開発技術担当(現任)
同　静内支店長
弁護士登録（第二東京弁護士会）
㈱ウイングメディカル取締役辞任
株式会社フコク代表取締役社長
同社常務執行役員営業本部本店長
株式会社　梅の花社外取締役(監査等委員)就任(現任)
明治海運株式会社取締役
同社常任監査役（常勤）
奥村組土木興業株式会社環境開発本部プロジェクト推進室担当部長（現）兵庫奥栄建設株式会社環境エンジニアリング部担当部長（現）
田中精密工業株式会社監査役（現任）
株式会社中山製鋼所取締役営業、購買本部、東京支店統括
同金庫理事コンプライアンス部担当
株式会社アルプス技研取締役国際部長(現任）
代表取締役社長　兼営業本部本部長(現)
西華産業株式会社取締役　常務執行役員関係会社戦略本部長兼 事業戦略部長
日本工営株式会社取締役執行役員
経営企画室長（現任）
同社サウディアラビア総代表兼リヤド駐在 事務所長
"oRo（Thailand） Co., Ltd. 取締役"
同社 上席専務執行役員（現任）
公認会計士登録
尼崎市企画財政局園田地域振興センター嘱託職員
ヒロセ電機株式会社 入社
株式会社みずほフィナンシャルグループ人事部人材開発室室長
ローム株式会社取締役　管理本部長、経理本部長、CSR本部長就任
Synexmed (Hong Kong) Limited （連結子会社）総経理
株式会社オービス入社
同社　取締役常務執行役員営業部長
株式会社ＷＯＷＯＷ 編成局長
株式会社ソニー・ミュージックエンターテインメント　営業グループ次長
㈱ＲＶトラスト取締役（現任）
九州旅客鉄道株式会社総合企画本部経営企画部長
税理士登録、野田仁志税理士事務所開業(現任)
日東電工株式会社執行役員　副CTO　ICT事業部門長　兼　全社技術部門副部門長・新規事業本部長
水戸証券株式会社監査部、経営企画部、財務部、コンプライアンス部、業務指導部、審査部管掌(現)
株式会社バルニバービ常務取締役営業本部長兼関東営業部長
同社　システム部長
同社専務取締役
株式会社　キング代表取締役社長ＣＯＯ（現任）
同社常務執行役員 財務部長
株式会社ユビテック　顧問
月島機械株式会社常務執行役員（現任）月島機械株式会社企画・管理本部副本部長
同社徳島支店長
株式会社ダイセキ環境ソリューション入社
同社執行役員 航空宇宙カンパニーバイス・プレジデント 兼 営業本部長
滝本会計事務所（現 東京九段会計事務所）開設（現任）
ユシロ化学工業株式会社技術本部技術３部長
アートグリーン株式会社監査役(現任）
日本開発銀行金沢支店長
株式会社りそな銀行　社外取締役就任
株式会社エグゼクティブ・パートナーズ会長（現任）
株式会社平和常務取締役管理本部副本部長
株式会社ハンズマン入社
株式会社エフテック入社
㈱三井住友銀行執行役員東京都心法人営業本部長
株式会社大盛工業取締役総務部長
日本プラスト株式会社常務取締役
㈱四国丸和ロジスティクス(現㈱中四国丸和ロジスティクス)代表取締役社長
総合企画部企画広報課長兼コンプライアンス室長
株式会社ADKダイアログ　入社
財団法人渋沢栄一記念財団評議員（現任）
株式会社アンドゥ取締役に就任
㈱インテリジェンス（現パーソルキャリア㈱）設立
工藤建設株式会社取締役住宅事業部長就任（現任）
株式会社関西福祉事業社（現ロングライフホールディング株式会社）設立代表取締役社長
株式会社アサンテ監査役就任（現任）
凸版印刷㈱代表取締役社長
ミシガン小児病院　リサーチフェロー　入職
株式会社マルエツ入社
同　取締役常務執行役員(現職)
㈱ニフコ 社外取締役(現)
ジャスコ株式会社（現イオン株式会社）入社
保土谷化学工業株式会社常務執行役員
株式会社Ａｍａｚｉａ　取締役就任（現任）
株式会社長府製作所取締役営業部長兼福岡支店長
秋田銀行取締役（現職）
旭コンクリート工業株式会社常務取締役東部東北支社長兼東部生産部長
トーセイ・コミュニティ株式会社取締役（現任）
日本アジアホールディングズ株式会社監査役
株式会社ベルク取締役副会長
ディーブイエックス株式会社取締役（現任）
東京家庭裁判所調停委員
株式会社アドテック技術顧問就任
日本電信電話株式会社入社
株式会社平山ホールディングス　代表取締役社長（現任）
株式会社銚子丸設立　専務取締役
ＯＡＴアグリオ株式会社肥料・ＢＳ事業部事業部長
リゾートトラスト株式会社執行役員メディカル本部副本部長兼ミッドタウン事業部長兼ハイメディック事業部長就任
阪神電気鉄道㈱入社
株式会社ノダ常務取締役建材事業部長就任（現任）
ウイルプラスモトーレン㈱取締役就任(現任)
芝浦機械株式会社企画部長
ウィナ㈱(現 WELLCOM㈱) 代表取締役社長就任(現任)
日本プラスト株式会社社外取締役（現任）
株式会社東急レクリエーション入社
ドライヤーズ・グランド／ネスレ・アイスクリーム社　地域物流マネージャー
㈱りそな銀行社外監査役（～2013年６月）
株式会社ケアサービス執行役員業務サポート部長
株式会社鳥羽洋行取締役営業副本部長兼中国・九州ブロック長就任
常務取締役管理本部本部長(現任)
取締役国際部長
同社取締役経理部長
取締役
日本ライフライン株式会社執行役員薬事統括本部長
株式会社ブリヂストン入社
株式会社　アルバック電子・イオン機器事業部第４技術グループ室長
"Indeed, Inc. CEO"
株式会社ナカノフドー建設顧問
常務取締役機能材料事業部長兼同事業部工業材料部長（現任）
関西経営者協会入局
株式会社マルハニチロホールディングス代表取締役副社長
株式会社イトーヨーカ堂入社
同社がHD設立により㈱ミツウロコグループホールディングス監査役
株式会社東海銀行（現　株式会社三菱ＵＦＪ銀行）に入行
東京電力㈱入社
同社　松戸工場　製造課長
株式会社デリバリー(現株式会社デリバリーコンサルティング)　取締役(現任)
シグマ光機株式会社営業本部長
トリニティ工業株式会社設備事業部第２営業室九州営業所長就任
日立造船株式会社社外監査役（現在）
クックパッド㈱社外取締役（2018年３月退任）
取締役　営業本部副本部長（現）
税理士登録
㈱くふうカンパニー取締役（現任）
東京エレクトロン株式会社執行役員
東急株式会社常務取締役
扶桑電通株式会社取締役常務執行役員営業統轄副本部長(東地区担当)兼東京営業本部長就任
同社退社
速水税務会計事務所 入所
株式会社オー・エム・コーポレーション入社
フェリカネットワーク株式会社監査役就任
同社特別顧問退任
射水建材株式会社代表取締役社長（現任）
三菱重工業株式会社取締役 常勤監査等委員(現職)
辰巳和正法律事務所退所
電子文具開発部長
専務取締役就任　総務部長兼品質保証部管掌
株式会社ブレインパッド 取締役（現任）
(株)みずほ銀行執行役員
蛇の目ミシン工業株式会社執行役員
大宮ソニックシティ株式会社代表取締役社長
サムコインターナショナル創業
執行役員品質管理室長
松田綜合法律事務所入所
同執行役員東京ガスリビングエンジニアリング株式会社 代表取締役社長
那須電機鉄工株式会社専務取締役
同社常務取締役営業統括本部長
司法試験合格
出光興産株式会社社外監査役（現任）ＴＩＳ株式会社
株式会社アイキューブドシステムズ 取締役 就任（現任）
株式会社髙島屋社外取締役
BSP International Corp.CEO
北川精機株式会社代表取締役専務ＰＶ事業部長
株式会社フリード（現株式会社フォーバル・リアルストレート）監査役
取締役就任(現在に至る）
のぞみ総合法律事務所
管理部門総務部長
酒井重工業株式会社海外事業本部海外営業第３部長兼ロシアプロジェクトリーダー
株式会社カプコン社外監査役[常勤]
取締役
油研工業株式会社応用商品部環境機械営業一課長
ＮＲＩデータサービス株式会社顧問
ヴィスコ・テクノロジーズ株式会社取締役営業部長
渡辺会計事務所入所
株式会社オールアバウト取締役（現任）
常勤監査役就任(現任)
株式会社ケーズキャリアスタッフ代表取締役社長（現任） 専務取締役経営企画本部長
ダイヤオフィスシステム株式会社入社
㈱ヤッパ（現㈱ZOZOテクノロジーズ）設立
同社 代表取締役 専務執行役員 退任
法律事務所ネクシード開設　代表弁護士（現任）
阪神高速道路㈱技術審議会委員に就任 (現在)
㈱富士銀行（現社名㈱みずほフィナンシャルグループ）入行
同社取締役副会長
㈱TradeSafe 代表取締役（現任）
岩渕道男公認会計士事務所代表(現)
株式会社ルックホールディングス監査役(現任)
飯田グループホールディングス株式会社社外監査役就任（現任）
株式会社ボディアーキ・ジャパン（旧株式会社ディーナ・キレイ研究所）取締役　就任（現任）
同行執行役員リテール営業部長委嘱
プライスウォーターハウスクーパース株式会社 代表取締役社長
慶應義塾大学総合政策学部教授就任(現任)
株式会社グラフィコ取締役販売本部長
同社退任
日本生命保険相互会社入社
株式会社プロトコーポレーション監査役就任(現任)
税理士法人トーマツ(現・デロイトトーマツ税理士法人)転籍
東海運株式会社取締役執行役員海運事業部長
経理部長
同社　取締役コーポレート本部長
イー・ギャランティ株式会社取締役執行役員営業部門長
日本製罐株式会社経理部部長
㈱大阪ソーダ機能材事業部長付
日本アイ・エス・ケイ株式会社監査役（現任）
大形変圧器事業部長
ＫＬａｂ株式会社クリエイティブ部長(現任)
南海辰村建設株式会社常務執行役員
株式会社アートネイチャー営業統括本部営業管理部長
上海申和熱磁電子有限公司董事長（現任）
同社顧問（現任）
ラクスル株式会社ハコベル事業本部長
㈱ソウケイ・ハイネット顧問（現任）
株式会社ＴＶＥ管理本部副本部長兼経営企画室長
トヨタ自動車工業㈱入社(現トヨタ自動車㈱)
同社専務取締役
株式会社グリーンクロス監査役
セーレン㈱社外監査役　現在に至る
株式会社阪急阪神ホテルズ　取締役（現任）
応用リソースマネージメント株式会社取締役
株式会社ツクイホールディングス社外監査役
名古屋本店長（現）
㈱エイチ・アンド・エム・サポート代表取締役就任
株式会社アイル　経営管理本部人事総務 部長就任（現任）
明治屋商事株式会社代表取締役社長
ナトコ株式会社取締役副社長
沖縄セルラー電話株式会社監査役（現在に至る）
桐蔭横浜大学大学院法務研究科教授就任（現任）
株式会社ＫＡＤＯＫＡＷＡ監査役（現任）
テイ・エス　テック株式会社取締役執行役員生産本部長（現任）
株式会社愛銀ディーシーカード代表取締役
ユーケーエヌ・エス・アイ社取締役社長
総務省平和祈念事業アドバイザリーボード構成員（現任）
取締役営業本部副本部長
同社代表取締役就任
事業本部長
監査法人トーマツ 代表社員
同社取締役
監査法人不二会計事務所(現：きさらぎ監査法人)　入所
双日㈱内部統制統括部専門部長
日本証券業協会大阪地区協会会長
新東ルーフ株式会社代表取締役
株式会社Ｍｉｓｕｍｉ　秘書室長
宇部興産株式会社入社
愛知県弁護士会副会長
取締役（監査等委員）就任（現任）
株式会社タムラ製作所入社
株式会社ビケンテクノ常務取締役　経営企画室長
TECMO KOEI EUROPE LIMITED（現 KOEI TECMO EUROPE LIMITED） Board Director President and COO
同 取締役執行役員
株式会社法学館入社
常務取締役経営企画部長
同行代表取締役常務執行役員就任(現任)
同行常務執行役員
㈱富士銀行南浦和支店支店長
株式会社みずほ銀行上大岡支店長
株式会社テセック入社
ゲンキー株式会社監査役就任
Aluminium Company of Malaysia Berhad　取締役CFO
アクセンチュア㈱ 特別顧問
明治安田生命保険相互会社
株式会社ＭＡコンサルティング設立 代表取締役就任(現任)
株式会社イズミ代表取締役副社長
株式会社ジェイアール西日本デイリーサービスネット代表取締役社長
ジェイアール四国バス㈱代表取締役社長
国税庁徴収部長
ＫＬａｂ株式会社品質管理部長
太陽誘電株式会社執行役員 経営企画担当
㈱東京スタイル（現株式会社ＴＳＩホールディングス）入社
日本トイザらス株式会社 取締役
グローリー株式会社上席執行役員 グローリー株式会社開発本部長、知的財産部担当（現任）
シャープ株式会社入社
サンワ・等松青木監査法人（現有限責任監査法人トーマツ）入所
興和新薬株式会社入社
株式会社東京個別指導学院社外取締役(現）
㈱日本製鋼所社外監査役
株式会社ラピーヌ代表取締役会長
常勤監査役㈱ウイル・コーポレーション監査役（現任）
田中商事株式会社取締役仕入部長兼情報管理部長(現任)
常務執行役員建築施工本部長
三井物産㈱取締役
同社ニコアンド事業部長
同委員会事務総局経済取引局長
株式会社ニコン取締役(監査等委員)(現)
三原税務署長
ＡＩメカテック株式会社 取締役就任（現任）
花王㈱会計財務部門マネジャー
株式会社アイ・ピー・エス監査役（現任）
パーソルホールディングス株式会社取締役（グループアウトソーシング戦略本部長兼グループ人事本部長）
株式会社NetValue　取締役
同社システムソリューション事業本部長
東京家庭裁判所 調停委員(現任)
株式会社ジョイフル執行役員管理本部副本部長
表示灯株式会社取締役副社長　生産本部長（現任）
特許庁長官
マークラインズ株式会社社外監査役(現任)
同行取締役常務執行役員デジタルサービス部門長（現任)
ホリイフードサービス株式会社取締役就任
サンエス株式会社社外取締役
岩塚製菓株式会社専務取締役営業本部長に就任
小野薬品工業株式会社研究業務部長
高岡工場製造部長
株式会社アールエイジ取締役本部長就任
ＮＯＫ株式会社入社
㈱ニッセイ取締役（現任）
ＳＩ事業部長
関東管区警察局長
株式会社ヤマトに入社
株式会社ダイドー社外取締役(現)
株式会社日刊工業新聞社 執行役員
フューチャー株式会社技術応用戦略室長
公認会計士登録
大日本印刷㈱事業推進本部グループ事業推進部シニアエキスパート（現任）
株式会社アクロスソリュー   ションズ代表取締役会長就任（現任）
同　顧問
野口和弘公認会計士事務所設立 (現任)
"SKK(H'K)CO.,LTD.代表取締役社長就任（現任）"
株式会社鳥貴族ホールディングス　取締役理念推進室室長（現任）
東亞合成株式会社管理部人事・総務グループリーダー
株式会社ＧａｍｅＷｉｔｈ　取締役　兼　執行役員経営企画室長
株式会社No.1　取締役就任(現任)
名港海運株式会社入社
アイキューブドシステムズ 個人創業
取締役就任（現）、経理本部長（現）
住友海上火災保険㈱(現三井住友海上火災保険㈱)入社
川崎地質株式会社取締役（監査等委員）（現任）
太平洋セメントフィリピン副社長
同社 常務取締役
Allen＆Gledhill LLP(シンガポール)入所
平和紙業株式会社監査役（現任）   株式会社ティーガイア社外監査役   株式会社スパンクリート　コーポ   レーション社外監査役
株式会社ゼンショーホールディングス取締役
株式会社魚喜取締役社長室長
日本石油輸送株式会社社外取締役（現職）
取締役(監査等委員)就任(現)
三優監査法人入所
株式会社リグア　監査役
株式会社愛媛銀行入行
穴吹興産株式会社入社
慶應義塾大学大学院政策・メディア研究科研究員
同社代表取締役社長
同　代表取締役常務執行役員
東京産業株式会社取締役執行役員営業第四本部副本部長兼海外事業統括室長
審査部長
同 ＨＰＣ事業部統括マネージャー
警察庁長官官房審議官
株式会社コジマ社長執行役員
聖マリアンナ医科大学病院薬剤部長
弁護士登録　長島・大野・常松法律事務所入所
株式会社日本触媒嘱託
菊池製作所創業
富国生命保険相互会社常務執行役員
サンバイオ株式会社代表取締役副社長就任（現任）
愛知製鋼株式会社経営役員就任
株式会社サン・ライフホールディング取締役相談役就任（現任）
ファーストウッド㈱社外取締役就任
弁護士登録
㈱新川入社
同 取締役 上級執行役員 総務・法務管掌 兼 三井倉庫ロジスティクス株式会社 取締役 兼 三井倉庫トランスポート株式会社 取締役副社長
ブラザー工業株式会社監査役室長
株式会社　山大開発生産部部長兼工場長
株式会社スギ薬局常務取締役
経営相談室室長
リアライズ・モバイル・コミュニケーションズ㈱監査役就任（現任）
同社取締役社長
㈱エクサに転籍
大塚メディカルデバイス㈱取締役
学習院大学法科大学院 特別招聘教授（現任）
(株)INAX(旧伊奈製陶株式会社） 国際統括部長
タキロンシーアイ株式会社　執行役員
株式会社エスケーエレクトロニクス常務取締役
株式会社スペース常務取締役就任
同社 CSRグループ長 兼 富士フイルムホールディングス(株) 経営企画部CSRグループマネージャー
同省職業安定局長
株式会社ミクシィ取締役(現任)
株式会社ＷＡＣＵＬ　社外取締役（監査等委員）（現任）
マクセルホールディングス株式会社取締役兼財務部長
日本工営株式会社コンサルタント海外事業本部収益管理室長
大阪支店京滋建築総合営業所長
フランスベッドホールディングス㈱社外取締役(監査等委員)就任(現任)
横浜ゴム㈱入社
代表取締役社長（現任）
大阪大学大学院理学研究科助教
株式会社Ｃ＆Ｇシステムズ執行役員開発本部本部長
アールピーアールジェンセル㈱ 代表取締役社長
K's construction設立　代表就任
株式会社ジグザグ 監査役(現任)
同社代表取締役副社長
日本伸銅株式会社顧問
ＬＩＦＴ合同会社設立   代表社員就任（現任）
日本タングステン株式会社機械部品事業本部超硬部品部ダイカッター事業推進室長
南海電気鉄道株式会社常務取締役
旭化成㈱ 社外取締役(現任)
同社取締役
株式会社トップカルチャー監査役（現任）
同社畜産部長兼畜産部畜産第一課長
Ｃ＆Ｉ事業部ＤＢ本部ＶＲ企画開発室長
東京汽船株式会社取締役総務部長現在に至る
ヤマエ久野株式会社取締役常務執行役員 管理統轄就任（現任）
執行役員袖ケ浦工場長
RBJ㈱取締役就任（現任）
生産開発事業部総合研究所人工臓器開発センター部長
同社相談役(非常勤)
株式会社十六銀行入行
株式会社大真空営業本部長
阪神電気鉄道株式会社顧問
WDI UK Ltd.　取締役（現任）
株式会社マネジメント・シェルパ・ソリューション取締役就任
ＶＴホールディングス株式会社   専務取締役(現任)
山崎製パン株式会社執行役員経理本部経理部長
